"group","class","subset","combined","num_in","num_out","mean_within","mean_between","p_value","greater","significant","diff"
"MRP","V","HRM","0","152","2247","0.164","0.025","0","within","yes","0.930754316029909"
"CLB","B","CPR","0","68","2331","0.051","0.007","0","within","yes","0.29462726550587"
"MRP","T","MPH","0","18","2381","0.069","0.03","0","within","yes","0.261146894425658"
"CLB","B","PTH","0","137","2262","0.286","0.036","0","within","yes","1.67401855401063"
"MRP","V","SRF","0","197","2202","0.068","0.022","0","within","yes","0.308019413937955"
"CLB","C","RTH","0","53","2346","0.12","0.01","0","within","yes","0.736568163764676"
"MRP","T","MTM","0","7","2392","0.159","0.005","0.086","within","no","1.03119542927055"
"MRP","R","OVP","0","33","2366","0.043","0.012","0.001","within","yes","0.207578300697318"
"MRP","V","GRS","0","272","2127","0.114","0.031","0","within","yes","0.555774159931528"
"MRP","T","WAT","0","40","2359","0.088","0.021","0","within","yes","0.448636972474848"
"ESN","L","SRL","0","155","2244","0.224","0.027","0","within","yes","1.31912662056037"
"ESN","G","FLT","0","151","2249","0.088","0.022","0","within","yes","0.441940898258805"
"CND","H","CHS","0","190","2209","0.287","0.032","0","within","yes","1.70749892509084"
"MRP","T","CDR","0","13","2386","0.264","0.009","0","within","yes","1.70749892509084"
"MRP","V","STT","0","77","2322","0.033","0.01","0","within","yes","0.154009706968978"
"ESN","L","NHM","0","17","2382","0.257","0.011","0","within","yes","1.64723425714646"
"MRP","V","NLS","0","127","2272","0.075","0.022","0","within","yes","0.354891933450253"
"CND","I","OBI","0","6","2393","0.178","0.026","0.413","within","no","1.01780328083846"
"MRP","V","CUL","0","74","2325","0.037","0.025","0.012","within","yes","0.0803528905925101"
"ESN","S","EMB","0","364","2035","0.78","0.047","0","within","yes","4.90822240035916"
"ESN","G","EMG","0","54","2345","0.509","0.104","0","within","yes","2.71191005749722"
"ESN","S","MSD","0","13","2386","0.239","0.051","0","within","yes","1.25886195261599"
"ESN","G","FSM","0","147","2252","0.046","0.016","0","within","yes","0.200882226481275"
"MRP","R","SSC","0","40","2359","0.092","0.008","0","within","yes","0.56247023414757"
"MRP","V","MSL","0","62","2337","0.106","0.034","0","within","yes","0.48211734355506"
"MRP","V","MEC","0","13","2386","0.07","0.014","0.207","within","no","0.37498015609838"
"ESN","G","MGD","0","47","2352","0.194","0.049","0","within","yes","0.970930761326164"
"MRP","V","IST","0","94","2305","0.052","0.018","0","within","yes","0.227666523345445"
"MRP","V","LEF","0","246","2153","0.071","0.02","0","within","yes","0.341499785018168"
"CND","H","NUT","0","109","2290","0.078","0.029","0","within","yes","0.328107636586083"
"ESN","G","GEM","0","32","2367","0.697","0.112","0","within","yes","3.91720341638487"
"MRP","V","PIG","0","248","2151","0.069","0.025","0","within","yes","0.29462726550587"
"ESN","L","ARC","0","93","2306","0.131","0.017","0","within","yes","0.763352460628846"
"ESN","G","GAM","0","75","2324","0.595","0.076","0","within","yes","3.47526251812606"
"CLB","B","MCH","0","28","2371","0.378","0.054","0","within","yes","2.16952804599777"
"MRP","V","GER","0","60","2339","0.089","0.021","0","within","yes","0.45533304669089"
"MRP","T","LIT","0","146","2253","0.063","0.016","0","within","yes","0.314715488153998"
"MRP","V","ROT","0","199","2200","0.075","0.018","0","within","yes","0.381676230314423"
"MRP","V","TMP","0","71","2328","0.069","0.021","0","within","yes","0.32141156237004"
"MRP","T","SEN","0","39","2360","0.081","0.017","0","within","yes","0.42854874982672"
"CLB","B","PRA","0","124","2275","0.158","0.013","0","within","yes","0.970930761326163"
"MRP","V","TCM","0","97","2302","0.034","0.019","0","within","yes","0.100441113240638"
"MRP","V","all","1","1989","1230","0.026","0.025","0","within","yes","0.00669607421604249"
"CLB","B","all","1","357","2058","0.1","0.021","0","within","yes","0.528989863067358"
"MRP","T","all","1","263","2147","0.035","0.018","0","within","yes","0.113833261672723"
"CLB","C","all","1","53","2346","0.12","0.01","0","within","yes","0.736568163764676"
"MRP","R","all","1","73","2326","0.04","0.01","0","within","yes","0.200882226481275"
"ESN","L","all","1","265","2140","0.101","0.023","0","within","yes","0.522293788851316"
"ESN","G","all","1","506","1941","0.098","0.04","0","within","yes","0.388372304530465"
"CND","H","all","1","299","2113","0.186","0.025","0","within","yes","1.07806794878284"
"CND","I","all","1","6","2393","0.178","0.026","0.413","within","no","1.01780328083846"
"ESN","S","all","1","377","2022","0.742","0.045","0","within","yes","4.66716372858163"
